player,season_avg,hot_n,hot_during,hot_next,hot_regression,cold_n,cold_during,cold_next,cold_regression,normal_n,normal_during,normal_next,normal_regression
Kyshawn George,1.68,5,3.6,1.8,1.8,2,0.0,0.5,-0.5,58,1.59,1.78,-0.18
LaMelo Ball,3.81,0,,,,0,,,,44,3.8,3.73,0.08
Landry Shamet,1.24,3,3.67,2.0,1.67,0,,,,44,0.9,1.25,-0.35
Lauri Markkanen,2.94,3,5.33,2.67,2.67,0,,,,41,2.78,2.98,-0.2
Lindy Waters III,1.23,0,,,,0,,,,49,1.12,1.22,-0.1
Lonzo Ball,1.91,4,3.5,2.0,1.5,0,,,,28,1.64,1.96,-0.32
Luguentz Dort,2.39,3,4.44,0.33,4.11,2,0.17,2.5,-2.33,63,2.37,2.52,-0.16
Luke Kennard,1.74,2,5.0,1.0,4.0,0,,,,60,1.66,1.77,-0.11
Malik Beasley,3.89,3,6.44,4.67,1.78,2,1.5,5.0,-3.5,74,3.82,3.85,-0.03
Malik Monk,2.14,6,4.67,3.5,1.17,2,0.33,1.0,-0.67,54,2.0,2.04,-0.04
Marcus Smart,1.44,2,3.5,0.5,3.0,0,,,,29,1.34,1.55,-0.21
Matas Buzelis,1.2,8,2.79,1.62,1.17,0,,,,69,1.01,1.2,-0.19
Max Christie,1.47,10,2.7,1.4,1.3,1,0.0,2.0,-2.0,64,1.33,1.53,-0.2
Max Strus,2.26,1,4.0,1.0,3.0,1,0.67,4.0,-3.33,45,2.19,2.31,-0.12
Micah Potter,0.82,0,,,,0,,,,35,0.78,0.74,0.04
Mike Conley,1.79,0,,,,1,0.33,0.0,0.33,67,1.88,1.84,0.04
Miles Bridges,2.2,7,4.0,2.14,1.86,2,0.67,1.0,-0.33,52,2.08,2.29,-0.21
Miles McBride,1.8,3,3.33,1.67,1.67,1,0.33,3.0,-2.67,57,1.68,1.74,-0.06
Moritz Wagner,0.9,2,2.0,0.5,1.5,2,0.0,0.5,-0.5,23,0.9,0.96,-0.06
Moses Moody,1.7,2,3.33,1.0,2.33,2,0.17,1.5,-1.33,67,1.71,1.72,-0.0
Mouhamed Gueye,0.64,1,1.67,0.0,1.67,0,,,,29,0.61,0.72,-0.11
Myles Turner,2.17,3,4.0,2.67,1.33,0,,,,66,2.12,2.17,-0.05
Naji Marshall,0.87,4,2.25,1.5,0.75,0,,,,62,0.78,0.87,-0.09
Naz Reid,2.19,4,4.33,3.25,1.08,1,0.33,3.0,-2.67,72,2.13,2.12,0.01
Nick Smith Jr.,1.73,3,4.0,2.0,2.0,3,0.0,2.0,-2.0,51,1.67,1.78,-0.12
Nickeil Alexander-Walker,1.72,4,3.75,1.5,2.25,4,0.33,2.0,-1.67,71,1.67,1.69,-0.02
Nicolas Batum,1.13,7,2.57,1.71,0.86,0,,,,68,0.93,1.1,-0.17
Nikola Jović,1.7,3,3.33,2.33,1.0,2,0.33,1.5,-1.17,38,1.69,1.66,0.04
Nikola Vučević,1.77,6,3.44,1.67,1.78,2,0.17,2.0,-1.83,62,1.69,1.74,-0.05
Noah Clowney,1.89,2,3.83,2.0,1.83,0,,,,41,1.81,1.9,-0.09
Obi Toppin,1.39,7,3.19,1.57,1.62,0,,,,69,1.25,1.42,-0.17
Ochai Agbaji,1.58,5,3.2,1.8,1.4,0,,,,56,1.4,1.59,-0.19
Onyeka Okongwu,0.65,5,2.0,1.0,1.0,0,,,,66,0.54,0.62,-0.08
Patrick Williams,1.52,2,3.17,1.0,2.17,0,,,,58,1.46,1.55,-0.09
Payton Pritchard,3.19,6,5.67,2.67,3.0,2,0.83,3.5,-2.67,69,3.04,3.2,-0.16
Peyton Watson,0.71,5,2.13,0.8,1.33,0,,,,60,0.59,0.73,-0.14
Quentin Grimes,2.16,6,4.44,2.33,2.11,3,0.22,2.0,-1.78,63,2.08,2.25,-0.17
Quinten Post,1.74,3,3.67,2.33,1.33,0,,,,36,1.69,1.81,-0.12
Ricky Council IV,0.75,6,2.0,0.33,1.67,0,,,,64,0.63,0.81,-0.18
Royce O'Neale,2.39,6,4.5,2.5,2.0,0,,,,66,2.26,2.44,-0.18
Rui Hachimura,1.73,1,3.67,1.0,2.67,2,0.33,2.0,-1.67,53,1.75,1.74,0.01
Russell Westbrook,1.25,3,2.89,1.33,1.56,2,0.0,0.5,-0.5,67,1.25,1.31,-0.06
Ryan Dunn,1.11,7,2.48,1.71,0.76,0,,,,64,0.91,1.0,-0.09
Sam Hauser,2.34,3,4.78,2.67,2.11,1,0.0,3.0,-3.0,64,2.21,2.34,-0.14
Sam Merrill,1.93,3,4.11,2.67,1.44,0,,,,65,1.8,1.92,-0.12
Santi Aldama,1.85,0,,,,1,0.0,3.0,-3.0,61,1.85,1.77,0.08
Scoot Henderson,1.59,5,3.47,2.0,1.47,0,,,,58,1.45,1.6,-0.15
Scotty Pippen Jr.,1.1,7,2.52,1.14,1.38,0,,,,69,0.96,1.1,-0.14
Seth Curry,1.22,4,2.92,1.25,1.67,0,,,,61,1.03,1.15,-0.11
Shaedon Sharpe,2.04,3,3.33,1.67,1.67,2,0.5,2.5,-2.0,64,1.99,2.12,-0.13
Simone Fontecchio,1.01,1,2.33,0.0,2.33,0,,,,71,0.97,1.01,-0.05
Spencer Dinwiddie,1.38,7,2.76,1.14,1.62,1,0.0,2.0,-2.0,68,1.27,1.4,-0.12
Stephon Castle,1.17,5,2.33,1.0,1.33,4,0.0,0.75,-0.75,69,1.17,1.26,-0.09
Svi Mykhailiuk,1.84,2,3.83,1.0,2.83,0,,,,33,1.62,1.97,-0.35
Tari Eason,1.11,2,2.67,2.0,0.67,1,0.0,1.0,-1.0,51,1.08,1.08,0.01
Taurean Prince,1.84,3,3.56,1.33,2.22,3,0.22,2.33,-2.11,71,1.8,1.83,-0.03
Terance Mann,0.9,4,2.25,1.5,0.75,0,,,,60,0.83,0.9,-0.07
Terry Rozier,1.42,5,3.53,3.0,0.53,0,,,,56,1.27,1.18,0.09
Tidjane Salaün,0.97,2,2.33,1.0,1.33,0,,,,55,0.93,0.96,-0.03
Tim Hardaway Jr.,2.18,4,4.67,2.5,2.17,3,0.33,2.67,-2.33,67,2.11,2.12,-0.0
Tobias Harris,1.25,7,2.71,1.0,1.71,0,,,,63,1.07,1.29,-0.21
Trendon Watford,0.66,0,,,,0,,,,41,0.67,0.71,-0.04
Trey Lyles,1.17,5,3.13,1.2,1.93,0,,,,61,1.0,1.18,-0.18
Tristan da Silva,1.08,2,2.83,0.0,2.83,0,,,,69,1.0,1.1,-0.1
Ty Jerome,1.59,6,3.78,1.5,2.28,0,,,,61,1.32,1.62,-0.3
Tyrese Martin,1.65,4,3.42,1.5,1.92,1,0.0,1.0,-1.0,52,1.6,1.73,-0.13
Tyus Jones,2.05,6,4.06,2.83,1.22,2,0.33,3.0,-2.67,70,1.92,1.97,-0.05
Vasilije Micic,1.1,2,2.67,1.5,1.17,0,,,,36,1.08,1.14,-0.06
Vít Krejčí,1.58,2,3.67,0.5,3.17,7,0.0,0.14,-0.14,45,1.79,1.93,-0.15
Wendell Carter Jr.,0.54,8,1.38,0.38,1.0,0,,,,57,0.43,0.56,-0.13
Zaccharie Risacher,1.63,4,3.33,0.5,2.83,2,0.0,2.0,-2.0,66,1.57,1.73,-0.16
Ziaire Williams,1.63,5,3.8,1.2,2.6,4,0.0,0.75,-0.75,51,1.56,1.76,-0.2
