player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent
Davion Mitchell,2.3333333333333335,1.0,1.3333333333333335,MIL,home,Elite (top 10),0.353,99.92,6.954954954954957,False
Davion Mitchell,2.3333333333333335,0.0,2.3333333333333335,PHI,home,Bad (21-30),0.378,98.13,9.288288288288285,False
De'Andre Hunter,4.0,3.0,1.0,MIL,away,Elite (top 10),0.353,99.92,1.78125,False
De'Andre Hunter,4.333333333333333,4.0,0.33333333333333304,TOR,away,Elite (top 10),0.349,100.62,3.78125,False
De'Andre Hunter,4.333333333333333,2.0,2.333333333333333,BKN,away,Mid (11-20),0.362,96.73,2.447916666666668,False
De'Andre Hunter,4.0,0.0,4.0,CHI,away,Elite (top 10),0.344,103.61,2.114583333333332,False
Dean Wade,3.0,2.0,1.0,GSW,away,Mid (11-20),0.363,99.37,2.7288135593220346,True
Deni Avdija,3.3333333333333335,3.0,0.3333333333333335,TOR,home,Elite (top 10),0.349,100.62,4.986111111111111,False
Deni Avdija,4.0,3.0,1.0,WAS,home,Mid (11-20),0.364,101.82,8.652777777777775,False
Deni Avdija,3.3333333333333335,5.0,-1.6666666666666665,MEM,home,Mid (11-20),0.36,103.69,3.9861111111111107,False
Deni Avdija,3.6666666666666665,4.0,-0.3333333333333335,DEN,home,Bad (21-30),0.365,100.67,3.3194444444444464,True
Deni Avdija,4.0,2.0,2.0,BOS,home,Elite (top 10),0.347,96.59,4.652777777777775,True
Deni Avdija,3.6666666666666665,3.0,0.6666666666666665,CLE,home,Mid (11-20),0.359,100.31,8.652777777777775,False
Dennis Schröder,3.3333333333333335,5.0,-1.6666666666666665,DEN,home,Bad (21-30),0.365,100.67,5.559999999999999,True
Dennis Schröder,4.333333333333333,6.0,-1.666666666666667,MEM,away,Mid (11-20),0.36,103.69,8.22666666666667,False
Dennis Schröder,5.333333333333333,1.0,4.333333333333333,CHI,home,Elite (top 10),0.344,103.61,8.893333333333334,False
Dennis Schröder,4.0,1.0,3.0,DET,home,Bad (21-30),0.366,100.27,8.22666666666667,False
Derrick Jones Jr.,2.3333333333333335,0.0,2.3333333333333335,TOR,home,Elite (top 10),0.349,100.62,1.3290043290043307,False
Derrick Jones Jr.,2.6666666666666665,2.0,0.6666666666666665,HOU,away,Mid (11-20),0.357,99.03,3.3290043290043307,False
Derrick Jones Jr.,2.3333333333333335,0.0,2.3333333333333335,MIL,home,Elite (top 10),0.353,99.92,6.995670995670995,False
Derrick Jones Jr.,2.3333333333333335,1.0,1.3333333333333335,PHX,away,Bad (21-30),0.37,98.31,7.995670995670999,False
