player,during_hot,next_game_stat,regression,next_opp,next_location,opp_def_tier,opp_3p_pct_allowed,opp_pace,minutes_trend,was_blowout_recent,season_avg,your_fair_line,naive_line,actual_outcome,distance_to_yours,distance_to_naive,your_line_wins,volume_tier,minutes_trend_bucket
Brook Lopez,3.6666666666666665,2.0,1.6666666666666663,CHI,home,Elite (top 10),0.344,103.61,4.841666666666665,False,1.74,1.74,3.6666666666666665,2.0,0.26,1.6666666666666665,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Brook Lopez,3.333333333333333,1.0,2.333333333333333,DET,away,Bad (21-30),0.366,100.27,2.5083333333333364,False,1.74,1.74,3.333333333333333,1.0,0.74,2.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Brook Lopez,3.333333333333333,0.0,3.333333333333333,IND,away,Elite (top 10),0.355,100.76,4.175000000000001,False,1.74,1.74,3.333333333333333,0.0,1.74,3.333333333333333,True,Medium (3-5 3PA/g),Minutes UP (>+2)
Brook Lopez,3.333333333333333,1.0,2.333333333333333,ORL,away,Bad (21-30),0.365,96.51,-1.8249999999999995,False,1.74,1.74,3.333333333333333,1.0,0.74,2.333333333333333,True,Medium (3-5 3PA/g),Stable (±2)
Brook Lopez,3.333333333333333,1.0,2.333333333333333,NYK,away,Bad (21-30),0.367,97.64,1.841666666666665,False,1.74,1.74,3.333333333333333,1.0,0.74,2.333333333333333,True,Medium (3-5 3PA/g),Stable (±2)
Bruce Brown,1.6666666666666667,0.0,1.6666666666666667,ATL,away,Bad (21-30),0.377,103.41,-0.7723577235772332,False,0.66,0.66,1.6666666666666667,0.0,0.66,1.6666666666666667,True,Low (2-3 3PA/g),Stable (±2)
Bruce Brown,1.6666666666666667,3.0,-1.3333333333333333,MIN,away,Elite (top 10),0.353,97.95,3.894308943089431,False,0.66,0.66,1.6666666666666667,3.0,2.34,1.3333333333333333,False,Low (2-3 3PA/g),Minutes UP (>+2)
Bruce Brown,2.333333333333333,1.0,1.3333333333333337,DET,away,Bad (21-30),0.366,100.27,0.560975609756099,True,0.66,0.66,2.333333333333333,1.0,0.33999999999999997,1.333333333333333,True,Low (2-3 3PA/g),Stable (±2)
Bruce Brown,2.6666666666666665,2.0,0.6666666666666665,GSW,home,Mid (11-20),0.363,99.37,6.894308943089431,False,0.66,0.66,2.6666666666666665,2.0,1.3399999999999999,0.6666666666666665,False,Low (2-3 3PA/g),Minutes UP (>+2)
Bruce Brown,2.0,0.0,2.0,CHA,home,Elite (top 10),0.355,98.22,7.227642276422767,False,0.66,0.66,2.0,0.0,0.66,2.0,True,Low (2-3 3PA/g),Minutes UP (>+2)
Bub Carrington,4.0,2.0,2.0,SAS,home,Bad (21-30),0.365,100.08,6.382113821138212,True,1.68,1.68,4.0,2.0,0.32000000000000006,2.0,True,High (5+ 3PA/g),Minutes UP (>+2)
Bub Carrington,3.333333333333333,4.0,-0.6666666666666665,IND,home,Elite (top 10),0.355,100.76,4.048780487804876,False,1.68,1.68,3.333333333333333,4.0,2.3200000000000003,0.666666666666667,False,High (5+ 3PA/g),Minutes UP (>+2)
Bub Carrington,3.6666666666666665,0.0,3.6666666666666665,MIL,home,Elite (top 10),0.353,99.92,7.048780487804876,False,1.68,1.68,3.6666666666666665,0.0,1.68,3.6666666666666665,True,High (5+ 3PA/g),Minutes UP (>+2)
Bub Carrington,4.666666666666667,1.0,3.666666666666667,BOS,away,Elite (top 10),0.347,96.59,8.71544715447154,False,1.68,1.68,4.666666666666667,1.0,0.6799999999999999,3.666666666666667,True,High (5+ 3PA/g),Minutes UP (>+2)
Bub Carrington,4.333333333333333,2.0,2.333333333333333,IND,away,Elite (top 10),0.355,100.76,9.71544715447154,True,1.68,1.68,4.333333333333333,2.0,0.32000000000000006,2.333333333333333,True,High (5+ 3PA/g),Minutes UP (>+2)
Bub Carrington,3.333333333333333,2.0,1.3333333333333337,PHI,home,Bad (21-30),0.378,98.13,10.382113821138212,False,1.68,1.68,3.333333333333333,2.0,0.32000000000000006,1.333333333333333,True,High (5+ 3PA/g),Minutes UP (>+2)
Buddy Hield,5.0,4.0,1.0,NOP,home,Bad (21-30),0.365,99.77,2.898373983739837,False,2.48,2.48,5.0,4.0,1.52,1.0,False,High (5+ 3PA/g),Minutes UP (>+2)
